festival_performer_id,performer_id,festival_id,festival_period
200673,776,1,"[2025-11-27, 2025-12-05)"
200674,552,1,"[2025-11-27, 2025-12-05)"
200675,837,1,"[2025-11-27, 2025-12-05)"
200676,755,1,"[2025-11-27, 2025-12-05)"
200677,69,1,"[2025-11-27, 2025-12-05)"
200678,622,1,"[2025-11-27, 2025-12-05)"
200680,980,1,"[2025-11-27, 2025-12-05)"
200681,603,1,"[2025-11-27, 2025-12-05)"
200682,494,1,"[2025-11-27, 2025-12-05)"
200683,173,1,"[2025-11-27, 2025-12-05)"
200684,9,1,"[2025-11-27, 2025-12-05)"
200685,949,1,"[2025-11-27, 2025-12-05)"
200686,74,1,"[2025-11-27, 2025-12-05)"
200687,167,1,"[2025-11-27, 2025-12-05)"
200688,300,1,"[2025-11-27, 2025-12-05)"
200689,575,1,"[2025-11-27, 2025-12-05)"
200690,886,1,"[2025-11-27, 2025-12-05)"
200691,360,1,"[2025-11-27, 2025-12-05)"
200692,384,1,"[2025-11-27, 2025-12-05)"
200693,217,1,"[2025-11-27, 2025-12-05)"
200694,722,1,"[2025-11-27, 2025-12-05)"
200695,750,1,"[2025-11-27, 2025-12-05)"
200696,255,1,"[2025-11-27, 2025-12-05)"
200697,948,1,"[2025-11-27, 2025-12-05)"
200698,401,1,"[2025-11-27, 2025-12-05)"
200699,17,1,"[2025-11-27, 2025-12-05)"
200700,278,1,"[2025-11-27, 2025-12-05)"
200701,185,1,"[2025-11-27, 2025-12-05)"
200702,353,1,"[2025-11-27, 2025-12-05)"
200703,698,1,"[2025-11-27, 2025-12-05)"
200704,296,1,"[2025-11-27, 2025-12-05)"
200705,54,1,"[2025-11-27, 2025-12-05)"
200707,332,1,"[2025-11-27, 2025-12-05)"
200708,4,1,"[2025-11-27, 2025-12-05)"
200709,736,1,"[2025-11-27, 2025-12-05)"
200710,476,1,"[2025-11-27, 2025-12-05)"
200711,391,1,"[2025-11-27, 2025-12-05)"
200712,405,1,"[2025-11-27, 2025-12-05)"
200713,883,1,"[2025-11-27, 2025-12-05)"
200715,678,1,"[2025-11-27, 2025-12-05)"
200716,458,1,"[2025-11-27, 2025-12-05)"
200717,277,1,"[2025-11-27, 2025-12-05)"
200718,239,1,"[2025-11-27, 2025-12-05)"
200719,358,1,"[2025-11-27, 2025-12-05)"
200720,990,1,"[2025-11-27, 2025-12-05)"
200721,368,1,"[2025-11-27, 2025-12-05)"
200722,342,1,"[2025-11-27, 2025-12-05)"
200723,999,1,"[2025-11-27, 2025-12-05)"
200724,344,1,"[2025-11-27, 2025-12-05)"
200725,962,1,"[2025-11-27, 2025-12-05)"
200726,408,1,"[2025-11-27, 2025-12-05)"
200727,647,1,"[2025-11-27, 2025-12-05)"
200728,834,1,"[2025-11-27, 2025-12-05)"
200729,578,1,"[2025-11-27, 2025-12-05)"
200730,787,1,"[2025-11-27, 2025-12-05)"
200731,17,2,"[2025-11-07, 2025-11-18)"
200732,691,2,"[2025-11-07, 2025-11-18)"
200733,833,2,"[2025-11-07, 2025-11-18)"
200734,982,2,"[2025-11-07, 2025-11-18)"
200735,436,2,"[2025-11-07, 2025-11-18)"
200736,504,2,"[2025-11-07, 2025-11-18)"
200737,368,2,"[2025-11-07, 2025-11-18)"
200738,357,2,"[2025-11-07, 2025-11-18)"
200739,162,2,"[2025-11-07, 2025-11-18)"
200740,712,2,"[2025-11-07, 2025-11-18)"
200741,329,2,"[2025-11-07, 2025-11-18)"
200742,47,2,"[2025-11-07, 2025-11-18)"
200743,576,2,"[2025-11-07, 2025-11-18)"
200744,587,2,"[2025-11-07, 2025-11-18)"
200745,350,2,"[2025-11-07, 2025-11-18)"
200746,906,2,"[2025-11-07, 2025-11-18)"
200747,80,2,"[2025-11-07, 2025-11-18)"
200748,227,2,"[2025-11-07, 2025-11-18)"
200749,66,2,"[2025-11-07, 2025-11-18)"
200750,373,2,"[2025-11-07, 2025-11-18)"
200751,185,2,"[2025-11-07, 2025-11-18)"
200752,620,2,"[2025-11-07, 2025-11-18)"
200753,210,2,"[2025-11-07, 2025-11-18)"
200754,509,2,"[2025-11-07, 2025-11-18)"
200755,10,2,"[2025-11-07, 2025-11-18)"
200756,246,2,"[2025-11-07, 2025-11-18)"
200757,190,2,"[2025-11-07, 2025-11-18)"
200758,257,2,"[2025-11-07, 2025-11-18)"
200760,870,2,"[2025-11-07, 2025-11-18)"
200761,895,2,"[2025-11-07, 2025-11-18)"
200763,902,2,"[2025-11-07, 2025-11-18)"
200764,407,2,"[2025-11-07, 2025-11-18)"
200765,496,2,"[2025-11-07, 2025-11-18)"
200766,521,2,"[2025-11-07, 2025-11-18)"
200767,235,2,"[2025-11-07, 2025-11-18)"
200768,1,2,"[2025-11-07, 2025-11-18)"
200769,159,2,"[2025-11-07, 2025-11-18)"
200770,770,2,"[2025-11-07, 2025-11-18)"
200771,494,2,"[2025-11-07, 2025-11-18)"
200772,928,2,"[2025-11-07, 2025-11-18)"
200773,529,2,"[2025-11-07, 2025-11-18)"
200774,726,2,"[2025-11-07, 2025-11-18)"
200775,652,2,"[2025-11-07, 2025-11-18)"
200776,680,2,"[2025-11-07, 2025-11-18)"
200777,942,2,"[2025-11-07, 2025-11-18)"
200778,83,2,"[2025-11-07, 2025-11-18)"
200779,223,2,"[2025-11-07, 2025-11-18)"
200780,703,2,"[2025-11-07, 2025-11-18)"
200781,635,2,"[2025-11-07, 2025-11-18)"
200782,327,2,"[2025-11-07, 2025-11-18)"
200783,79,2,"[2025-11-07, 2025-11-18)"
200784,778,2,"[2025-11-07, 2025-11-18)"
200785,30,2,"[2025-11-07, 2025-11-18)"
200786,558,2,"[2025-11-07, 2025-11-18)"
200787,336,2,"[2025-11-07, 2025-11-18)"
200788,811,2,"[2025-11-07, 2025-11-18)"
200789,541,2,"[2025-11-07, 2025-11-18)"
200790,206,2,"[2025-11-07, 2025-11-18)"
200791,720,2,"[2025-11-07, 2025-11-18)"
200792,452,2,"[2025-11-07, 2025-11-18)"
200793,343,2,"[2025-11-07, 2025-11-18)"
200794,408,2,"[2025-11-07, 2025-11-18)"
200795,53,2,"[2025-11-07, 2025-11-18)"
200796,750,2,"[2025-11-07, 2025-11-18)"
200797,965,2,"[2025-11-07, 2025-11-18)"
200798,659,2,"[2025-11-07, 2025-11-18)"
200799,192,2,"[2025-11-07, 2025-11-18)"
200800,264,2,"[2025-11-07, 2025-11-18)"
200801,228,2,"[2025-11-07, 2025-11-18)"
200802,993,2,"[2025-11-07, 2025-11-18)"
200803,966,2,"[2025-11-07, 2025-11-18)"
200804,62,2,"[2025-11-07, 2025-11-18)"
200805,111,2,"[2025-11-07, 2025-11-18)"
200807,538,2,"[2025-11-07, 2025-11-18)"
200808,582,2,"[2025-11-07, 2025-11-18)"
200809,422,2,"[2025-11-07, 2025-11-18)"
200810,302,2,"[2025-11-07, 2025-11-18)"
200811,498,2,"[2025-11-07, 2025-11-18)"
200812,456,2,"[2025-11-07, 2025-11-18)"
200813,316,2,"[2025-11-07, 2025-11-18)"
200814,805,2,"[2025-11-07, 2025-11-18)"
200815,432,2,"[2025-11-07, 2025-11-18)"
200816,32,2,"[2025-11-07, 2025-11-18)"
200817,910,2,"[2025-11-07, 2025-11-18)"
200818,269,2,"[2025-11-07, 2025-11-18)"
200819,232,2,"[2025-11-07, 2025-11-18)"
200820,479,2,"[2025-11-07, 2025-11-18)"
200821,384,2,"[2025-11-07, 2025-11-18)"
200822,275,2,"[2025-11-07, 2025-11-18)"
200823,739,2,"[2025-11-07, 2025-11-18)"
200824,431,2,"[2025-11-07, 2025-11-18)"
200825,260,2,"[2025-11-07, 2025-11-18)"
200826,976,2,"[2025-11-07, 2025-11-18)"
200827,734,2,"[2025-11-07, 2025-11-18)"
200828,694,2,"[2025-11-07, 2025-11-18)"
200830,187,2,"[2025-11-07, 2025-11-18)"
200832,917,3,"[2025-11-29, 2025-12-09)"
200833,893,3,"[2025-11-29, 2025-12-09)"
200835,668,3,"[2025-11-29, 2025-12-09)"
200836,818,3,"[2025-11-29, 2025-12-09)"
200837,709,3,"[2025-11-29, 2025-12-09)"
200839,945,3,"[2025-11-29, 2025-12-09)"
200840,739,3,"[2025-11-29, 2025-12-09)"
200841,113,3,"[2025-11-29, 2025-12-09)"
200842,159,3,"[2025-11-29, 2025-12-09)"
200844,89,3,"[2025-11-29, 2025-12-09)"
200845,240,3,"[2025-11-29, 2025-12-09)"
200846,48,3,"[2025-11-29, 2025-12-09)"
200847,479,3,"[2025-11-29, 2025-12-09)"
200848,631,3,"[2025-11-29, 2025-12-09)"
200849,982,3,"[2025-11-29, 2025-12-09)"
200850,314,3,"[2025-11-29, 2025-12-09)"
200851,414,3,"[2025-11-29, 2025-12-09)"
200852,642,3,"[2025-11-29, 2025-12-09)"
200853,555,3,"[2025-11-29, 2025-12-09)"
200854,192,3,"[2025-11-29, 2025-12-09)"
200855,854,3,"[2025-11-29, 2025-12-09)"
200856,822,3,"[2025-11-29, 2025-12-09)"
200857,908,3,"[2025-11-29, 2025-12-09)"
200858,671,3,"[2025-11-29, 2025-12-09)"
200859,707,3,"[2025-11-29, 2025-12-09)"
200860,609,3,"[2025-11-29, 2025-12-09)"
200861,611,3,"[2025-11-29, 2025-12-09)"
200862,483,3,"[2025-11-29, 2025-12-09)"
200863,499,3,"[2025-11-29, 2025-12-09)"
200865,542,3,"[2025-11-29, 2025-12-09)"
200866,797,3,"[2025-11-29, 2025-12-09)"
200867,830,3,"[2025-11-29, 2025-12-09)"
200868,297,3,"[2025-11-29, 2025-12-09)"
200869,55,3,"[2025-11-29, 2025-12-09)"
200871,355,3,"[2025-11-29, 2025-12-09)"
200872,824,3,"[2025-11-29, 2025-12-09)"
200873,785,3,"[2025-11-29, 2025-12-09)"
200874,495,3,"[2025-11-29, 2025-12-09)"
200875,669,3,"[2025-11-29, 2025-12-09)"
200876,839,3,"[2025-11-29, 2025-12-09)"
200878,523,3,"[2025-11-29, 2025-12-09)"
200879,274,3,"[2025-11-29, 2025-12-09)"
200880,826,3,"[2025-11-29, 2025-12-09)"
200881,789,3,"[2025-11-29, 2025-12-09)"
200882,502,3,"[2025-11-29, 2025-12-09)"
200883,202,3,"[2025-11-29, 2025-12-09)"
200884,938,3,"[2025-11-29, 2025-12-09)"
200885,927,3,"[2025-11-29, 2025-12-09)"
200886,693,3,"[2025-11-29, 2025-12-09)"
200887,18,3,"[2025-11-29, 2025-12-09)"
200888,566,3,"[2025-11-29, 2025-12-09)"
200889,514,3,"[2025-11-29, 2025-12-09)"
200890,657,3,"[2025-11-29, 2025-12-09)"
200891,616,3,"[2025-11-29, 2025-12-09)"
200892,685,3,"[2025-11-29, 2025-12-09)"
200893,375,3,"[2025-11-29, 2025-12-09)"
200894,415,3,"[2025-11-29, 2025-12-09)"
200895,577,3,"[2025-11-29, 2025-12-09)"
200896,704,3,"[2025-11-29, 2025-12-09)"
200897,538,3,"[2025-11-29, 2025-12-09)"
200898,363,3,"[2025-11-29, 2025-12-09)"
200899,594,3,"[2025-11-29, 2025-12-09)"
200900,903,3,"[2025-11-29, 2025-12-09)"
200901,971,3,"[2025-11-29, 2025-12-09)"
200902,513,3,"[2025-11-29, 2025-12-09)"
200903,103,3,"[2025-11-29, 2025-12-09)"
200904,754,3,"[2025-11-29, 2025-12-09)"
200905,250,3,"[2025-11-29, 2025-12-09)"
200906,209,3,"[2025-11-29, 2025-12-09)"
200907,988,3,"[2025-11-29, 2025-12-09)"
200908,706,3,"[2025-11-29, 2025-12-09)"
200909,390,3,"[2025-11-29, 2025-12-09)"
200910,404,3,"[2025-11-29, 2025-12-09)"
200911,841,3,"[2025-11-29, 2025-12-09)"
200912,853,3,"[2025-11-29, 2025-12-09)"
200913,492,3,"[2025-11-29, 2025-12-09)"
200914,596,3,"[2025-11-29, 2025-12-09)"
200915,929,3,"[2025-11-29, 2025-12-09)"
200917,322,3,"[2025-11-29, 2025-12-09)"
200918,890,3,"[2025-11-29, 2025-12-09)"
200919,244,3,"[2025-11-29, 2025-12-09)"
200920,399,3,"[2025-11-29, 2025-12-09)"
200921,197,3,"[2025-11-29, 2025-12-09)"
200923,385,3,"[2025-11-29, 2025-12-09)"
200926,326,3,"[2025-11-29, 2025-12-09)"
200927,665,3,"[2025-11-29, 2025-12-09)"
200928,504,3,"[2025-11-29, 2025-12-09)"
200929,310,3,"[2025-11-29, 2025-12-09)"
200930,275,3,"[2025-11-29, 2025-12-09)"
200931,298,4,"[2025-12-18, 2025-12-29)"
200932,986,4,"[2025-12-18, 2025-12-29)"
200933,610,4,"[2025-12-18, 2025-12-29)"
200934,503,4,"[2025-12-18, 2025-12-29)"
200935,524,4,"[2025-12-18, 2025-12-29)"
200936,477,4,"[2025-12-18, 2025-12-29)"
200937,327,4,"[2025-12-18, 2025-12-29)"
200938,643,4,"[2025-12-18, 2025-12-29)"
200939,805,4,"[2025-12-18, 2025-12-29)"
200940,315,4,"[2025-12-18, 2025-12-29)"
200941,141,4,"[2025-12-18, 2025-12-29)"
200942,886,4,"[2025-12-18, 2025-12-29)"
200943,558,4,"[2025-12-18, 2025-12-29)"
200944,281,4,"[2025-12-18, 2025-12-29)"
200945,770,4,"[2025-12-18, 2025-12-29)"
200946,162,4,"[2025-12-18, 2025-12-29)"
200947,257,4,"[2025-12-18, 2025-12-29)"
200948,946,4,"[2025-12-18, 2025-12-29)"
200949,810,4,"[2025-12-18, 2025-12-29)"
200950,102,4,"[2025-12-18, 2025-12-29)"
200951,775,4,"[2025-12-18, 2025-12-29)"
200952,69,4,"[2025-12-18, 2025-12-29)"
200953,595,4,"[2025-12-18, 2025-12-29)"
200954,921,4,"[2025-12-18, 2025-12-29)"
200955,47,4,"[2025-12-18, 2025-12-29)"
200956,728,4,"[2025-12-18, 2025-12-29)"
200957,396,4,"[2025-12-18, 2025-12-29)"
200958,246,4,"[2025-12-18, 2025-12-29)"
200959,92,4,"[2025-12-18, 2025-12-29)"
200960,943,4,"[2025-12-18, 2025-12-29)"
200961,466,4,"[2025-12-18, 2025-12-29)"
200962,115,4,"[2025-12-18, 2025-12-29)"
200963,417,4,"[2025-12-18, 2025-12-29)"
200964,613,4,"[2025-12-18, 2025-12-29)"
200965,145,4,"[2025-12-18, 2025-12-29)"
200966,684,4,"[2025-12-18, 2025-12-29)"
200967,824,4,"[2025-12-18, 2025-12-29)"
200968,476,4,"[2025-12-18, 2025-12-29)"
200969,737,4,"[2025-12-18, 2025-12-29)"
200970,627,4,"[2025-12-18, 2025-12-29)"
200971,212,4,"[2025-12-18, 2025-12-29)"
200972,338,4,"[2025-12-18, 2025-12-29)"
200973,759,4,"[2025-12-18, 2025-12-29)"
200974,381,4,"[2025-12-18, 2025-12-29)"
200975,346,4,"[2025-12-18, 2025-12-29)"
200976,550,4,"[2025-12-18, 2025-12-29)"
200977,90,4,"[2025-12-18, 2025-12-29)"
200978,36,4,"[2025-12-18, 2025-12-29)"
200979,958,4,"[2025-12-18, 2025-12-29)"
200980,133,4,"[2025-12-18, 2025-12-29)"
200981,439,4,"[2025-12-18, 2025-12-29)"
200982,754,4,"[2025-12-18, 2025-12-29)"
200983,263,4,"[2025-12-18, 2025-12-29)"
200984,586,4,"[2025-12-18, 2025-12-29)"
200985,354,4,"[2025-12-18, 2025-12-29)"
200986,564,4,"[2025-12-18, 2025-12-29)"
200987,172,4,"[2025-12-18, 2025-12-29)"
200988,541,4,"[2025-12-18, 2025-12-29)"
200989,30,4,"[2025-12-18, 2025-12-29)"
200990,544,4,"[2025-12-18, 2025-12-29)"
200991,120,4,"[2025-12-18, 2025-12-29)"
200992,114,4,"[2025-12-18, 2025-12-29)"
200993,81,4,"[2025-12-18, 2025-12-29)"
200994,891,4,"[2025-12-18, 2025-12-29)"
200995,164,4,"[2025-12-18, 2025-12-29)"
200996,606,4,"[2025-12-18, 2025-12-29)"
200997,732,4,"[2025-12-18, 2025-12-29)"
200998,14,4,"[2025-12-18, 2025-12-29)"
200999,449,4,"[2025-12-18, 2025-12-29)"
201000,40,4,"[2025-12-18, 2025-12-29)"
201001,787,4,"[2025-12-18, 2025-12-29)"
201002,113,4,"[2025-12-18, 2025-12-29)"
201003,545,4,"[2025-12-18, 2025-12-29)"
201004,852,4,"[2025-12-18, 2025-12-29)"
201005,697,4,"[2025-12-18, 2025-12-29)"
201006,226,4,"[2025-12-18, 2025-12-29)"
201007,985,4,"[2025-12-18, 2025-12-29)"
201008,271,4,"[2025-12-18, 2025-12-29)"
201009,612,4,"[2025-12-18, 2025-12-29)"
201010,870,4,"[2025-12-18, 2025-12-29)"
201011,339,4,"[2025-12-18, 2025-12-29)"
201012,993,4,"[2025-12-18, 2025-12-29)"
201013,949,4,"[2025-12-18, 2025-12-29)"
201014,991,4,"[2025-12-18, 2025-12-29)"
201015,889,4,"[2025-12-18, 2025-12-29)"
201016,589,4,"[2025-12-18, 2025-12-29)"
201017,823,4,"[2025-12-18, 2025-12-29)"
201018,253,4,"[2025-12-18, 2025-12-29)"
201019,77,4,"[2025-12-18, 2025-12-29)"
201020,7,4,"[2025-12-18, 2025-12-29)"
201021,365,4,"[2025-12-18, 2025-12-29)"
201022,482,4,"[2025-12-18, 2025-12-29)"
201024,332,4,"[2025-12-18, 2025-12-29)"
201025,460,4,"[2025-12-18, 2025-12-29)"
201026,924,4,"[2025-12-18, 2025-12-29)"
201027,68,4,"[2025-12-18, 2025-12-29)"
201028,106,4,"[2025-12-18, 2025-12-29)"
201029,270,4,"[2025-12-18, 2025-12-29)"
201030,285,4,"[2025-12-18, 2025-12-29)"
201031,813,5,"[2025-12-12, 2025-12-18)"
201032,758,5,"[2025-12-12, 2025-12-18)"
201033,792,5,"[2025-12-12, 2025-12-18)"
201034,787,5,"[2025-12-12, 2025-12-18)"
201035,336,5,"[2025-12-12, 2025-12-18)"
201036,868,5,"[2025-12-12, 2025-12-18)"
201037,647,5,"[2025-12-12, 2025-12-18)"
201038,130,5,"[2025-12-12, 2025-12-18)"
201039,791,5,"[2025-12-12, 2025-12-18)"
201040,856,5,"[2025-12-12, 2025-12-18)"
201041,625,5,"[2025-12-12, 2025-12-18)"
201042,782,5,"[2025-12-12, 2025-12-18)"
201043,662,5,"[2025-12-12, 2025-12-18)"
201044,842,5,"[2025-12-12, 2025-12-18)"
201045,447,5,"[2025-12-12, 2025-12-18)"
201046,389,5,"[2025-12-12, 2025-12-18)"
201047,332,5,"[2025-12-12, 2025-12-18)"
201048,794,5,"[2025-12-12, 2025-12-18)"
201049,95,5,"[2025-12-12, 2025-12-18)"
201050,522,5,"[2025-12-12, 2025-12-18)"
201051,636,5,"[2025-12-12, 2025-12-18)"
201052,859,5,"[2025-12-12, 2025-12-18)"
201053,720,5,"[2025-12-12, 2025-12-18)"
201054,53,5,"[2025-12-12, 2025-12-18)"
201055,874,5,"[2025-12-12, 2025-12-18)"
201056,800,5,"[2025-12-12, 2025-12-18)"
201057,169,5,"[2025-12-12, 2025-12-18)"
201058,487,5,"[2025-12-12, 2025-12-18)"
201059,514,5,"[2025-12-12, 2025-12-18)"
201060,226,5,"[2025-12-12, 2025-12-18)"
201061,261,5,"[2025-12-12, 2025-12-18)"
201062,726,5,"[2025-12-12, 2025-12-18)"
201063,609,5,"[2025-12-12, 2025-12-18)"
201064,269,5,"[2025-12-12, 2025-12-18)"
201065,413,5,"[2025-12-12, 2025-12-18)"
201066,432,5,"[2025-12-12, 2025-12-18)"
201067,294,5,"[2025-12-12, 2025-12-18)"
201068,134,5,"[2025-12-12, 2025-12-18)"
201069,980,5,"[2025-12-12, 2025-12-18)"
201070,364,5,"[2025-12-12, 2025-12-18)"
201071,214,5,"[2025-12-12, 2025-12-18)"
201072,723,5,"[2025-12-12, 2025-12-18)"
201073,833,5,"[2025-12-12, 2025-12-18)"
201074,899,5,"[2025-12-12, 2025-12-18)"
201075,688,5,"[2025-12-12, 2025-12-18)"
201076,960,5,"[2025-12-12, 2025-12-18)"
201077,618,5,"[2025-12-12, 2025-12-18)"
201078,204,5,"[2025-12-12, 2025-12-18)"
201079,47,5,"[2025-12-12, 2025-12-18)"
201080,32,5,"[2025-12-12, 2025-12-18)"
201081,124,5,"[2025-12-12, 2025-12-18)"
201082,685,5,"[2025-12-12, 2025-12-18)"
201083,903,5,"[2025-12-12, 2025-12-18)"
201084,679,5,"[2025-12-12, 2025-12-18)"
201085,137,5,"[2025-12-12, 2025-12-18)"
201086,282,5,"[2025-12-12, 2025-12-18)"
201088,55,5,"[2025-12-12, 2025-12-18)"
201089,839,5,"[2025-12-12, 2025-12-18)"
201090,181,5,"[2025-12-12, 2025-12-18)"
201091,883,5,"[2025-12-12, 2025-12-18)"
201092,857,5,"[2025-12-12, 2025-12-18)"
201093,27,5,"[2025-12-12, 2025-12-18)"
201095,502,5,"[2025-12-12, 2025-12-18)"
201096,479,5,"[2025-12-12, 2025-12-18)"
201097,358,5,"[2025-12-12, 2025-12-18)"
201098,408,5,"[2025-12-12, 2025-12-18)"
201099,74,5,"[2025-12-12, 2025-12-18)"
201100,886,5,"[2025-12-12, 2025-12-18)"
201101,807,5,"[2025-12-12, 2025-12-18)"
201102,963,5,"[2025-12-12, 2025-12-18)"
201103,572,5,"[2025-12-12, 2025-12-18)"
201104,76,5,"[2025-12-12, 2025-12-18)"
201105,854,5,"[2025-12-12, 2025-12-18)"
201106,225,5,"[2025-12-12, 2025-12-18)"
201107,885,5,"[2025-12-12, 2025-12-18)"
201108,608,5,"[2025-12-12, 2025-12-18)"
201109,411,5,"[2025-12-12, 2025-12-18)"
201110,302,5,"[2025-12-12, 2025-12-18)"
201111,848,5,"[2025-12-12, 2025-12-18)"
201112,233,5,"[2025-12-12, 2025-12-18)"
201113,430,5,"[2025-12-12, 2025-12-18)"
201114,648,5,"[2025-12-12, 2025-12-18)"
201115,718,5,"[2025-12-12, 2025-12-18)"
201116,822,5,"[2025-12-12, 2025-12-18)"
201117,424,5,"[2025-12-12, 2025-12-18)"
201118,598,5,"[2025-12-12, 2025-12-18)"
201119,880,5,"[2025-12-12, 2025-12-18)"
201120,52,5,"[2025-12-12, 2025-12-18)"
201121,828,5,"[2025-12-12, 2025-12-18)"
201122,765,5,"[2025-12-12, 2025-12-18)"
201123,516,5,"[2025-12-12, 2025-12-18)"
201124,441,5,"[2025-12-12, 2025-12-18)"
201125,919,5,"[2025-12-12, 2025-12-18)"
201128,109,5,"[2025-12-12, 2025-12-18)"
201129,191,5,"[2025-12-12, 2025-12-18)"
201130,23,5,"[2025-12-12, 2025-12-18)"
201131,482,6,"[2025-11-12, 2025-11-22)"
201132,878,6,"[2025-11-12, 2025-11-22)"
201133,341,6,"[2025-11-12, 2025-11-22)"
201134,561,6,"[2025-11-12, 2025-11-22)"
201135,725,6,"[2025-11-12, 2025-11-22)"
201136,746,6,"[2025-11-12, 2025-11-22)"
201137,33,6,"[2025-11-12, 2025-11-22)"
201138,858,6,"[2025-11-12, 2025-11-22)"
201139,455,6,"[2025-11-12, 2025-11-22)"
201140,342,6,"[2025-11-12, 2025-11-22)"
201141,470,6,"[2025-11-12, 2025-11-22)"
201142,378,6,"[2025-11-12, 2025-11-22)"
201143,27,6,"[2025-11-12, 2025-11-22)"
201144,841,6,"[2025-11-12, 2025-11-22)"
201145,905,6,"[2025-11-12, 2025-11-22)"
201146,823,6,"[2025-11-12, 2025-11-22)"
201147,556,6,"[2025-11-12, 2025-11-22)"
201148,438,6,"[2025-11-12, 2025-11-22)"
201149,854,6,"[2025-11-12, 2025-11-22)"
201150,710,6,"[2025-11-12, 2025-11-22)"
201151,323,6,"[2025-11-12, 2025-11-22)"
201152,91,6,"[2025-11-12, 2025-11-22)"
201154,339,6,"[2025-11-12, 2025-11-22)"
201155,531,6,"[2025-11-12, 2025-11-22)"
201156,292,6,"[2025-11-12, 2025-11-22)"
201157,476,6,"[2025-11-12, 2025-11-22)"
201158,617,6,"[2025-11-12, 2025-11-22)"
201159,198,6,"[2025-11-12, 2025-11-22)"
201160,970,6,"[2025-11-12, 2025-11-22)"
201161,186,6,"[2025-11-12, 2025-11-22)"
201162,402,6,"[2025-11-12, 2025-11-22)"
201164,588,6,"[2025-11-12, 2025-11-22)"
201165,141,6,"[2025-11-12, 2025-11-22)"
201167,670,6,"[2025-11-12, 2025-11-22)"
201168,757,6,"[2025-11-12, 2025-11-22)"
201169,903,6,"[2025-11-12, 2025-11-22)"
201170,507,6,"[2025-11-12, 2025-11-22)"
201171,633,6,"[2025-11-12, 2025-11-22)"
201173,908,6,"[2025-11-12, 2025-11-22)"
201174,52,6,"[2025-11-12, 2025-11-22)"
201175,880,6,"[2025-11-12, 2025-11-22)"
201176,783,6,"[2025-11-12, 2025-11-22)"
201177,745,6,"[2025-11-12, 2025-11-22)"
201178,435,6,"[2025-11-12, 2025-11-22)"
201179,505,6,"[2025-11-12, 2025-11-22)"
201180,467,6,"[2025-11-12, 2025-11-22)"
201181,209,6,"[2025-11-12, 2025-11-22)"
201183,655,6,"[2025-11-12, 2025-11-22)"
201185,729,6,"[2025-11-12, 2025-11-22)"
201186,888,6,"[2025-11-12, 2025-11-22)"
201187,936,6,"[2025-11-12, 2025-11-22)"
201188,122,6,"[2025-11-12, 2025-11-22)"
201189,42,6,"[2025-11-12, 2025-11-22)"
201190,716,6,"[2025-11-12, 2025-11-22)"
201193,262,6,"[2025-11-12, 2025-11-22)"
201194,662,6,"[2025-11-12, 2025-11-22)"
201195,679,6,"[2025-11-12, 2025-11-22)"
201196,442,6,"[2025-11-12, 2025-11-22)"
201197,575,6,"[2025-11-12, 2025-11-22)"
201198,133,6,"[2025-11-12, 2025-11-22)"
